work_id,title,description,genre_1,genre_2,genre_3,auteur,year,url
1,Interstellar,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",Sci-Fi,Adventure,Drama,Christopher Nolan,2014,https://media.themoviedb.org/t/p/w440_and_h660_face/1pnigkWWy8W032o9TKDneBa3eVK.jpg
2,Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler.",Action,Adventure,Sci-Fi,George Miller,2015,https://media.themoviedb.org/t/p/w440_and_h660_face/oLy2V6AWSEfdPgKOtrSGnwB3Q2R.jpg
3,Arrival,"A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.",Sci-Fi,Drama,Mystery,Denis Villeneuve,2016,https://media.themoviedb.org/t/p/w440_and_h660_face/mSgYBWMybY9Ug4ZnCGsttPIjUx7.jpg
4,Logan,"In a future where mutants are nearly extinct, an aging Wolverine takes care of an ailing Professor X.",Action,Drama,Sci-Fi,James Mangold,2017,https://media.themoviedb.org/t/p/w440_and_h660_face/5HB2SsrYNARm4Kom7Amwyb93O4M.jpg
5,Blade Runner 2049,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard.",Sci-Fi,Thriller,Mystery,Denis Villeneuve,2017,https://media.themoviedb.org/t/p/w440_and_h660_face/baCC3v1wLnmoBbr2aH0e7P312gv.jpg
6,Black Panther,"T'Challa returns home to Wakanda to take his rightful place as king but faces a powerful enemy.",Action,Adventure,Sci-Fi,Ryan Coogler,2018,https://media.themoviedb.org/t/p/w440_and_h660_face/g94IcdzPswTYl1ISdgn2EwvaZtt.jpg
7,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes Spider-Man of his reality, crossing paths with five counterparts.",Animation,Action,Adventure,Peter Ramsey,2018,https://media.themoviedb.org/t/p/w440_and_h660_face/7uPGS5CgvIjDcFUhw9HB9qYeDXf.jpg
8,Avengers: Endgame,"The Avengers assemble once more to undo Thanos' actions and restore balance to the universe.",Action,Adventure,Sci-Fi,Anthony & Joe Russo,2019,https://media.themoviedb.org/t/p/w440_and_h660_face/wF7jv3x51hXgkl7t5KHePuRjXc8.jpg
9,Joker,"A mentally troubled comedian embarks on a downward spiral that leads to the creation of an iconic villain.",Crime,Drama,Thriller,Todd Phillips,2019,https://media.themoviedb.org/t/p/w440_and_h660_face/zDyT3gIeae39UgL9P6jL5Zc3zyt.jpg
10,Tenet,"A secret agent embarks on a dangerous, time-bending mission to prevent World War III.",Action,Sci-Fi,Thriller,Christopher Nolan,2020,https://media.themoviedb.org/t/p/w440_and_h660_face/72SOtZnFhCumLRZhoXlX8g2IkgF.jpg
11,Dune,"A noble family becomes embroiled in a war for control over the galaxy's most valuable asset.",Sci-Fi,Adventure,Drama,Denis Villeneuve,2021,https://media.themoviedb.org/t/p/w440_and_h660_face/qpyaW4xUPeIiYA5ckg5zAZFHvsb.jpg
12,The Batman,"Batman ventures into Gotham City's underworld when a sadistic killer leaves behind cryptic clues.",Action,Crime,Drama,Matt Reeves,2022,https://media.themoviedb.org/t/p/w440_and_h660_face/t9JGg10CW1DzXEdWL54ewkUko6N.jpg
13,Everything Everywhere All at Once,"A woman discovers she can traverse parallel universes and must stop a powerful threat.",Sci-Fi,Adventure,Comedy,Daniel Kwan & Daniel Scheinert,2022,https://media.themoviedb.org/t/p/w440_and_h660_face/qHy7BlA1I3iUEIGp7atsMjSNJSK.jpg
14,Top Gun: Maverick,"After 30 years, Maverick is still pushing the limits as a top naval aviator.",Action,Drama,Adventure,Joseph Kosinski,2022,https://media.themoviedb.org/t/p/w440_and_h660_face/kTh1s6I6yUyk2OGiRoGkDTYTS6K.jpg
15,Avatar: The Way of Water,"Jake Sully and Ney'tiri have formed a family but must leave their home and explore Pandora.",Sci-Fi,Adventure,Fantasy,James Cameron,2022,https://media.themoviedb.org/t/p/w440_and_h660_face/7TOaaKbSYfilIpZsRCS1AyFCxaJ.jpg
16,John Wick: Chapter 4,"John Wick takes on the High Table while facing his toughest opponents yet.",Action,Crime,Thriller,Chad Stahelski,2023,https://media.themoviedb.org/t/p/w440_and_h660_face/n1YTIyhAqqqFyDGFTzV7WaU1JfK.jpg
17,Oppenheimer,"A biopic about the physicist J. Robert Oppenheimer and his role in the Manhattan Project.",Biography,Drama,History,Christopher Nolan,2023,https://media.themoviedb.org/t/p/w440_and_h660_face/boAUuJBeID7VNp4L7LNMQs8mfQS.jpg
18,The Killer,"An assassin battles his employers and himself in an international chase.",Action,Crime,Thriller,David Fincher,2023,https://media.themoviedb.org/t/p/w440_and_h660_face/dtMdRUWAxibkDxfbgse9FXoJPw5.jpg
19,Dune: Part Two,"Paul Atreides unites with the Fremen to exact revenge against those who destroyed his family.",Sci-Fi,Adventure,Drama,Denis Villeneuve,2024,https://media.themoviedb.org/t/p/w440_and_h660_face/rBrJl1vUtaM6NU0EwxKSnc3nBxE.jpg
20,Deadpool 3,"Deadpool and Wolverine team up in the Marvel Cinematic Universe for a chaotic adventure.",Action,Comedy,Sci-Fi,Shawn Levy,2024,https://media.themoviedb.org/t/p/w440_and_h660_face/1Qb4L5L8UUWj9nRf6p779q27S9O.jpg
